loan_id,customer_code,customer_name,employment_status,monthly_income,principal,annual_interest_rate,term_months,application_date,approval_date,disbursement_date,due_date,status,eligibility_score,purpose,total_repaid,outstanding_penalties
24,CUS-0088,Caroline Banda,Employed,17013.0,12600.0,18.0,24,2025-12-23,2025-12-28,2025-12-30,2027-12-20,Disbursed,94.08,Farm inputs,4236.75,0
25,CUS-0037,Victor Musonda,Business Owner,20949.0,600.0,12.0,24,2026-04-03,2026-04-08,2026-04-08,2028-03-28,Disbursed,99.77,Working capital,482.99,0
26,CUS-0177,Memory Ngoma,Retired,3069.0,4200.0,24.0,24,2024-06-03,2024-06-05,2024-06-09,2026-05-30,Overdue,89.05,Business expansion,1594.59,92.43
27,CUS-0207,Caroline Mumbula,Business Owner,21136.0,23300.0,15.0,6,2025-10-14,2025-10-20,2025-10-20,2026-04-18,Disbursed,91.18,Personal development,6148.92,0
28,CUS-0215,Chola Phiri,Student,4384.0,10800.0,15.0,24,2025-12-27,,,,Rejected,80.29,School fees,0,0
29,CUS-0153,Ruth Banda,Student,4530.0,30000.0,20.0,36,2025-12-21,,,,Rejected,42.02,Working capital,0,0
30,CUS-0033,Agnes Musonda,Student,4069.0,23500.0,12.0,9,2026-07-25,2026-07-27,,,Approved,53.8,Medical expenses,0,0
31,CUS-0130,Agnes Sakala,Unemployed,4220.0,28900.0,12.0,24,2026-03-06,,,,Rejected,45.21,Working capital,0,0
32,CUS-0183,Caroline Chilufya,Student,315.0,9500.0,15.0,3,2025-09-12,,,,Pending,45.0,Business expansion,0,0
33,CUS-0169,Ruth Mwelwa,Student,4465.0,6600.0,10.0,3,2026-07-06,2026-07-13,2026-07-15,2026-10-13,Completed,88.17,Vehicle repair,6765.0,0
34,CUS-0060,Memory Zulu,Business Owner,14164.0,29700.0,15.0,36,2026-07-09,2026-07-13,2026-07-13,2029-06-27,Disbursed,78.23,School fees,7805.86,0
35,CUS-0041,Natasha Chilufya,Self-Employed,16059.0,10400.0,15.0,12,2025-10-08,2025-10-14,2025-10-18,2026-10-13,Completed,94.82,Farm inputs,11960.0,0
36,CUS-0170,Lillian Lungu,Student,1579.0,4600.0,24.0,24,2026-05-27,2026-06-03,2026-06-04,2028-05-24,Disbursed,76.69,Working capital,4178.68,0
37,CUS-0071,Gabriel Tembo,Other,4091.0,28000.0,15.0,24,2026-06-13,,,,Rejected,45.25,Personal development,0,0
38,CUS-0216,Caroline Chanda,Student,3248.0,27000.0,15.0,24,2026-07-17,,,,Rejected,45.0,Emergency needs,0,0
39,CUS-0135,Memory Kabwe,Student,4566.0,28600.0,15.0,6,2025-09-30,,,,Pending,49.89,Equipment purchase,0,0
40,CUS-0087,James Nyirenda,Employed,3484.0,9400.0,24.0,9,2025-09-22,2025-09-23,2025-09-27,2026-06-24,Completed,78.42,Equipment purchase,11092.0,0
41,CUS-0107,Peter Zulu,Retired,6997.0,4800.0,20.0,9,2025-10-01,2025-10-02,2025-10-03,2026-06-30,Overdue,94.51,Farm inputs,1100.69,88.39
42,CUS-0046,Ruth Phiri,Other,1074.0,13600.0,24.0,36,2025-11-20,,,,Rejected,40.0,Emergency needs,0,0
43,CUS-0159,Joshua Banda,Self-Employed,17113.0,4700.0,24.0,36,2025-12-10,2025-12-12,2025-12-14,2028-11-28,Disbursed,92.8,Vehicle repair,2648.92,0
44,CUS-0123,Kelvin Ngoma,Self-Employed,4589.0,13600.0,20.0,36,2026-02-08,,,,Pending,71.29,Medical expenses,0,0
45,CUS-0211,Grace Tembo,Business Owner,23453.0,26500.0,20.0,3,2025-10-12,2025-10-19,,,Approved,90.96,House renovation,0,0
46,CUS-0131,Agnes Nyirenda,Other,2547.0,21600.0,24.0,36,2025-11-02,,,,Pending,40.0,Emergency needs,0,0
47,CUS-0205,Brian Chanda,Retired,7393.0,27200.0,18.0,9,2025-11-26,,,,Pending,70.57,Equipment purchase,0,0
48,CUS-0141,Chola Kunda,Employed,21652.0,10100.0,24.0,3,2026-04-05,2026-04-12,2026-04-14,2026-07-13,Disbursed,96.27,Working capital,1803.36,0
49,CUS-0026,Brian Musonda,Retired,4777.0,15300.0,12.0,9,2025-10-16,2025-10-22,2025-10-26,2026-07-23,Overdue,74.38,School fees,704.79,319.44
50,CUS-0216,Caroline Chanda,Student,3248.0,17800.0,15.0,24,2026-06-10,,,,Pending,56.16,School fees,0,0
51,CUS-0030,Peter Mumbula,Retired,4125.0,10200.0,15.0,3,2026-01-29,2026-01-30,2026-01-31,2026-05-01,Overdue,80.22,Business expansion,2907.39,0
52,CUS-0024,James Nyirenda,Other,4239.0,17400.0,10.0,36,2026-02-16,,,,Pending,62.16,Working capital,0,0
53,CUS-0168,Joshua Zulu,Other,1524.0,21900.0,12.0,6,2026-05-24,,,,Pending,45.0,House renovation,0,0
54,CUS-0122,Sibamba Chilufya,Unemployed,1632.0,19400.0,18.0,9,2025-09-26,,,,Pending,45.0,Personal development,0,0
55,CUS-0037,Victor Musonda,Business Owner,20949.0,21500.0,15.0,3,2025-09-24,2025-10-01,,,Approved,91.79,Vehicle repair,0,0
56,CUS-0076,Gabriel Nyirenda,Retired,4048.0,8600.0,20.0,36,2026-06-08,2026-06-10,2026-06-10,2029-05-25,Disbursed,78.0,Working capital,4960.24,0
57,CUS-0094,Agnes Mumbula,Other,798.0,4500.0,15.0,12,2026-04-17,,,,Pending,54.89,Medical expenses,0,0
58,CUS-0211,Grace Tembo,Business Owner,23453.0,20700.0,15.0,18,2026-06-15,2026-06-21,2026-06-22,2027-12-14,Disbursed,92.94,Emergency needs,18181.15,0
59,CUS-0206,Joshua Banda,Unemployed,2031.0,6200.0,18.0,3,2026-01-28,,,,Pending,75.58,Medical expenses,0,0
60,CUS-0203,Lillian Lungu,Business Owner,5076.0,12700.0,24.0,18,2024-12-16,2024-12-23,2024-12-26,2026-06-19,Overdue,79.98,Vehicle repair,2844.18,288.56
61,CUS-0220,Thandiwe Chanda,Retired,2396.0,24000.0,24.0,3,2026-05-04,,,,Pending,45.0,Business expansion,0,0
62,CUS-0097,Agnes Mulenga,Unemployed,3533.0,22400.0,10.0,36,2026-02-21,,,,Rejected,44.28,School fees,0,0
63,CUS-0025,Ruth Mutale,Other,2.0,10700.0,18.0,24,2026-06-28,,,,Rejected,45.0,Medical expenses,0,0
64,CUS-0074,Mercy Mumba,Business Owner,21042.0,27300.0,18.0,24,2026-05-23,2026-05-24,2026-05-25,2028-05-14,Disbursed,89.62,Vehicle repair,9779.17,0
65,CUS-0036,Brian Kabwe,Business Owner,13423.0,27400.0,15.0,12,2026-03-07,2026-03-12,2026-03-14,2027-03-09,Disbursed,83.67,House renovation,16007.17,0
66,CUS-0158,Eunice Kabwe,Retired,1917.0,1500.0,10.0,6,2025-10-02,2025-10-03,2025-10-03,2026-04-01,Disbursed,93.74,Emergency needs,478.58,0
67,CUS-0172,Joshua Sakala,Business Owner,13164.0,14600.0,18.0,18,2026-05-09,,,,Rejected,91.13,Working capital,0,0
68,CUS-0073,Victor Chanda,Student,1179.0,6100.0,10.0,24,2026-02-05,2026-02-08,,,Approved,58.61,Personal development,0,0
69,CUS-0118,Thandiwe Tembo,Business Owner,11433.0,22300.0,18.0,36,2026-04-17,,,,Pending,79.4,House renovation,0,0
70,CUS-0162,Adrian Chanda,Student,93.0,24400.0,24.0,18,2026-02-14,,,,Rejected,45.0,Working capital,0,0
71,CUS-0214,Gabriel Banda,Retired,3163.0,17600.0,18.0,6,2025-12-18,,,,Rejected,55.49,Vehicle repair,0,0
72,CUS-0064,Eunice Chanda,Retired,5309.0,7400.0,20.0,36,2026-01-14,,,,Pending,83.85,School fees,0,0
73,CUS-0017,Kelvin Lungu,Student,151.0,4300.0,10.0,12,2026-01-15,,,,Rejected,45.0,Emergency needs,0,0
74,CUS-0181,Caroline Mumbula,Business Owner,15005.0,29100.0,10.0,36,2025-10-22,,,,Pending,79.49,Equipment purchase,0,0
75,CUS-0084,Brian Tembo,Student,306.0,28600.0,15.0,24,2026-03-08,,,,Rejected,45.0,Equipment purchase,0,0
76,CUS-0079,Joshua Kunda,Retired,3260.0,16700.0,20.0,18,2026-03-17,,,,Rejected,59.02,House renovation,0,0
77,CUS-0211,Grace Tembo,Business Owner,23453.0,24700.0,24.0,9,2026-05-01,2026-05-03,2026-05-05,2027-01-30,Disbursed,91.57,Equipment purchase,6073.69,0
78,CUS-0178,Eunice Musonda,Other,2670.0,22000.0,15.0,9,2026-07-03,,,,Rejected,45.0,Medical expenses,0,0
79,CUS-0042,Natasha Mbewe,Unemployed,1090.0,12300.0,10.0,9,2026-02-16,,,,Pending,45.0,Vehicle repair,0,0
80,CUS-0048,Thandiwe Mumba,Retired,4708.0,9700.0,24.0,6,2026-04-20,2026-04-24,2026-04-24,2026-10-21,Disbursed,83.52,School fees,3017.62,0
81,CUS-0206,Joshua Banda,Unemployed,2031.0,13300.0,18.0,24,2025-12-31,,,,Rejected,47.61,Equipment purchase,0,0
82,CUS-0171,Natasha Mwelwa,Employed,18197.0,10400.0,18.0,36,2023-06-14,2023-06-15,2023-06-16,2026-05-31,Overdue,90.43,Medical expenses,6830.97,183.7
83,CUS-0209,Lillian Chilufya,Unemployed,234.0,18500.0,10.0,18,2026-05-29,,,,Pending,45.0,Medical expenses,0,0
84,CUS-0095,Gabriel Chilufya,Employed,9230.0,8900.0,24.0,6,2026-05-25,2026-05-28,2026-06-01,2026-11-28,Completed,92.29,School fees,9968.0,0
85,CUS-0057,Thandiwe Musonda,Unemployed,1379.0,11300.0,18.0,18,2026-06-15,,,,Rejected,45.0,Working capital,0,0
86,CUS-0137,Agnes Chilufya,Unemployed,4556.0,1300.0,12.0,24,2024-07-20,2024-07-21,2024-07-25,2026-07-15,Overdue,97.72,School fees,397.1,24.3
87,CUS-0191,Eunice Mbewe,Self-Employed,23417.0,21700.0,10.0,36,2026-02-10,,,,Pending,87.59,School fees,0,0
88,CUS-0154,Natasha Mutale,Self-Employed,20344.0,14300.0,10.0,6,2025-11-20,2025-11-21,2025-11-21,2026-05-20,Disbursed,94.38,Farm inputs,8828.8,0
89,CUS-0204,Sibamba Kunda,Retired,1993.0,16000.0,15.0,18,2025-11-20,,,,Rejected,45.0,Business expansion,0,0
90,CUS-0014,Chola Chilufya,Business Owner,12953.0,13500.0,12.0,24,2026-03-21,2026-03-25,,,Approved,91.66,Business expansion,0,0
91,CUS-0219,Thandiwe Kunda,Self-Employed,5058.0,21400.0,12.0,3,2026-01-24,2026-01-31,2026-02-04,2026-05-05,Overdue,66.15,Business expansion,9101.55,258.81
92,CUS-0053,Peter Tembo,Self-Employed,9727.0,8300.0,15.0,6,2025-11-29,2025-12-02,2025-12-04,2026-06-02,Overdue,93.17,Farm inputs,4025.58,97.94
93,CUS-0219,Thandiwe Kunda,Self-Employed,5058.0,26500.0,18.0,3,2025-11-10,,,,Rejected,58.09,Farm inputs,0,0
94,CUS-0171,Natasha Mwelwa,Employed,18197.0,20200.0,18.0,24,2026-03-12,2026-03-17,2026-03-17,2028-03-06,Disbursed,91.12,School fees,3550.94,0
95,CUS-0082,Victor Banda,Unemployed,2052.0,27700.0,10.0,12,2025-10-23,,,,Rejected,45.0,House renovation,0,0
96,CUS-0037,Victor Musonda,Business Owner,20949.0,14800.0,10.0,6,2026-04-09,,,,Pending,94.35,Vehicle repair,0,0
97,CUS-0086,Eunice Nyirenda,Student,4708.0,13400.0,12.0,6,2025-10-23,,,,Rejected,77.23,Business expansion,0,0
98,CUS-0167,Kelvin Mbewe,Self-Employed,22050.0,5700.0,18.0,18,2025-01-02,2025-01-07,2025-01-08,2026-07-02,Overdue,97.93,House renovation,651.18,0
99,CUS-0088,Caroline Banda,Employed,17013.0,28200.0,10.0,3,2025-10-01,2025-10-08,2025-10-09,2026-01-07,Completed,86.74,Farm inputs,28905.0,0
100,CUS-0144,Brian Chilufya,Business Owner,5832.0,20800.0,10.0,36,2025-12-11,2025-12-12,,,Approved,66.47,Personal development,0,0
101,CUS-0052,Thandiwe Mumbula,Other,4896.0,17800.0,12.0,6,2026-03-30,2026-04-04,,,Approved,70.92,House renovation,0,0
102,CUS-0137,Agnes Chilufya,Unemployed,4556.0,19100.0,20.0,36,2026-04-28,2026-05-03,2026-05-04,2029-04-18,Completed,61.46,Working capital,30560.0,0
103,CUS-0034,Sibamba Mwila,Other,4269.0,20100.0,15.0,9,2025-12-13,2025-12-20,2025-12-23,2026-09-19,Completed,62.33,Vehicle repair,22361.25,0
104,CUS-0089,Joshua Mwila,Unemployed,2745.0,12000.0,24.0,36,2026-02-17,2026-02-23,2026-02-27,2029-02-11,Disbursed,60.03,Medical expenses,10835.29,0
105,CUS-0027,Sibamba Mwila,Retired,3937.0,8100.0,10.0,9,2025-10-30,2025-11-02,2025-11-03,2026-07-31,Overdue,83.54,Farm inputs,2.6,0
106,CUS-0139,Adrian Chanda,Unemployed,4785.0,16400.0,24.0,3,2026-01-21,,,,Pending,72.58,Emergency needs,0,0
107,CUS-0215,Chola Phiri,Student,4384.0,3700.0,10.0,36,2025-12-20,,,,Rejected,88.25,Vehicle repair,0,0
108,CUS-0204,Sibamba Kunda,Retired,1993.0,3200.0,20.0,24,2026-05-02,2026-05-08,2026-05-10,2028-04-29,Completed,87.16,Business expansion,4480.0,0
109,CUS-0035,Kelvin Zulu,Self-Employed,11805.0,23700.0,24.0,6,2025-11-19,,,,Pending,83.94,Business expansion,0,0
110,CUS-0188,Victor Mumba,Unemployed,1733.0,18800.0,15.0,9,2026-03-19,,,,Rejected,45.0,Medical expenses,0,0
111,CUS-0154,Natasha Mutale,Self-Employed,20344.0,17800.0,24.0,12,2026-06-22,2026-06-28,2026-06-28,2027-06-23,Disbursed,93.0,Business expansion,6501.8,0
112,CUS-0148,Lillian Mbewe,Student,303.0,22000.0,15.0,3,2026-07-04,,,,Rejected,45.0,Medical expenses,0,0
113,CUS-0165,Peter Mumbula,Self-Employed,15931.0,12600.0,20.0,9,2025-10-06,2025-10-13,2025-10-17,2026-07-14,Disbursed,93.67,Vehicle repair,5629.0,0
114,CUS-0046,Ruth Phiri,Other,1074.0,12300.0,20.0,6,2026-05-27,,,,Rejected,45.0,Emergency needs,0,0
115,CUS-0140,Agnes Mbewe,Unemployed,4506.0,17700.0,20.0,6,2026-07-20,,,,Pending,68.58,Business expansion,0,0
116,CUS-0106,Eunice Nyirenda,Employed,23281.0,3900.0,10.0,36,2025-11-16,2025-11-21,2025-11-21,2028-11-05,Completed,93.66,House renovation,5070.0,0
117,CUS-0086,Eunice Nyirenda,Student,4708.0,13000.0,24.0,24,2026-01-19,,,,Rejected,77.91,Working capital,0,0
118,CUS-0118,Thandiwe Tembo,Business Owner,11433.0,25000.0,24.0,24,2026-04-27,2026-04-30,2026-05-03,2028-04-22,Completed,82.51,Personal development,37000.0,0
119,CUS-0173,James Kunda,Unemployed,1184.0,11000.0,20.0,6,2026-05-02,,,,Rejected,45.0,Personal development,0,0
120,CUS-0028,Eunice Mumbula,Unemployed,547.0,27500.0,24.0,9,2026-07-11,,,,Pending,45.0,Emergency needs,0,0
121,CUS-0148,Lillian Mbewe,Student,303.0,26400.0,15.0,18,2026-07-25,,,,Rejected,45.0,Equipment purchase,0,0
122,CUS-0173,James Kunda,Unemployed,1184.0,700.0,10.0,9,2025-10-24,,,,Pending,95.27,Equipment purchase,0,0
123,CUS-0034,Sibamba Mwila,Other,4269.0,24100.0,24.0,3,2026-02-06,,,,Pending,54.84,Emergency needs,0,0
124,CUS-0087,James Nyirenda,Employed,3484.0,8400.0,24.0,18,2025-10-11,2025-10-12,2025-10-16,2027-04-09,Disbursed,80.71,Vehicle repair,3558.49,0
125,CUS-0094,Agnes Mumbula,Other,798.0,11300.0,24.0,9,2026-04-14,,,,Rejected,45.0,Vehicle repair,0,0
126,CUS-0212,Agnes Chilufya,Business Owner,8602.0,22400.0,20.0,9,2026-06-22,2026-06-29,2026-07-03,2027-03-30,Completed,79.17,School fees,25760.0,0
127,CUS-0110,Thandiwe Nyirenda,Self-Employed,23535.0,3300.0,12.0,9,2025-12-29,,,,Pending,98.88,Equipment purchase,0,0
128,CUS-0146,Gabriel Kabwe,Self-Employed,5288.0,21500.0,24.0,6,2026-07-03,2026-07-08,2026-07-11,2027-01-07,Disbursed,67.47,Vehicle repair,17877.06,0
129,CUS-0154,Natasha Mutale,Self-Employed,20344.0,20400.0,18.0,18,2026-04-04,2026-04-06,,,Approved,91.98,School fees,0,0
130,CUS-0049,Victor Phiri,Other,3138.0,25700.0,18.0,9,2026-01-15,,,,Rejected,45.0,School fees,0,0
131,CUS-0220,Thandiwe Chanda,Retired,2396.0,9900.0,18.0,36,2023-04-29,2023-05-04,2023-05-08,2026-04-22,Overdue,61.94,Equipment purchase,8048.16,143.96
132,CUS-0021,Natasha Tembo,Other,2596.0,17400.0,18.0,12,2026-05-04,,,,Pending,46.38,Working capital,0,0
133,CUS-0179,Lillian Banda,Retired,5869.0,24700.0,18.0,6,2026-07-03,2026-07-04,2026-07-04,2026-12-31,Completed,66.33,Personal development,26923.0,0
134,CUS-0158,Eunice Kabwe,Retired,1917.0,10200.0,20.0,9,2026-02-19,2026-02-20,,,Approved,57.43,School fees,0,0
135,CUS-0084,Brian Tembo,Student,306.0,29800.0,10.0,3,2026-02-02,,,,Rejected,45.0,Medical expenses,0,0
136,CUS-0214,Gabriel Banda,Retired,3163.0,11200.0,18.0,3,2026-02-09,2026-02-12,2026-02-16,2026-05-17,Overdue,71.67,House renovation,5920.73,0
137,CUS-0141,Chola Kunda,Employed,21652.0,12300.0,18.0,36,2026-07-08,2026-07-10,2026-07-14,2029-06-28,Completed,90.46,Equipment purchase,18942.0,0
138,CUS-0186,Memory Mumbula,Employed,5400.0,11800.0,18.0,24,2025-10-27,,,,Pending,82.52,Working capital,0,0
139,CUS-0010,Thandiwe Kunda,Unemployed,4136.0,2400.0,10.0,36,2023-08-02,2023-08-05,2023-08-06,2026-07-21,Overdue,90.36,Vehicle repair,989.26,42.61
140,CUS-0070,Gabriel Kunda,Business Owner,5170.0,15500.0,15.0,6,2026-02-04,2026-02-05,2026-02-07,2026-08-06,Disbursed,76.02,Emergency needs,1909.7,0
141,CUS-0105,Caroline Mwelwa,Unemployed,2086.0,21300.0,20.0,18,2026-03-05,,,,Rejected,45.0,Personal development,0,0
142,CUS-0205,Brian Chanda,Retired,7393.0,13800.0,15.0,3,2025-10-10,,,,Pending,85.07,Equipment purchase,0,0
143,CUS-0167,Kelvin Mbewe,Self-Employed,22050.0,7700.0,20.0,9,2025-11-10,2025-11-13,2025-11-17,2026-08-14,Completed,97.21,Personal development,8855.0,0
144,CUS-0011,Lillian Banda,Business Owner,18431.0,30000.0,10.0,3,2025-12-12,,,,Pending,86.98,Equipment purchase,0,0
145,CUS-0203,Lillian Lungu,Business Owner,5076.0,23900.0,12.0,12,2026-05-06,2026-05-10,2026-05-13,2027-05-08,Disbursed,62.33,Equipment purchase,12941.57,0
146,CUS-0207,Caroline Mumbula,Business Owner,21136.0,20300.0,12.0,9,2026-01-01,,,,Pending,92.32,House renovation,0,0
147,CUS-0182,Gabriel Zulu,Employed,4884.0,22400.0,20.0,12,2025-05-29,2025-05-31,2025-06-01,2026-05-27,Overdue,63.31,Equipment purchase,14525.53,247.09
148,CUS-0002,Mercy Sakala,Other,4057.0,26000.0,24.0,18,2026-01-31,,,,Rejected,48.73,Working capital,0,0
149,CUS-0012,Joshua Mulenga,Retired,2507.0,28500.0,18.0,6,2026-03-04,,,,Rejected,45.0,Equipment purchase,0,0
150,CUS-0193,Natasha Kunda,Retired,1261.0,4900.0,24.0,12,2026-01-29,2026-01-31,2026-02-01,2027-01-27,Disbursed,68.91,Vehicle repair,2476.54,0
151,CUS-0185,Memory Mumbula,Employed,20731.0,5700.0,15.0,3,2026-02-10,2026-02-15,2026-02-17,2026-05-18,Disbursed,97.8,Farm inputs,1708.76,0
152,CUS-0036,Brian Kabwe,Business Owner,13423.0,16000.0,20.0,18,2025-12-15,2025-12-17,2025-12-17,2027-06-10,Disbursed,90.46,Business expansion,8450.76,0
153,CUS-0141,Chola Kunda,Employed,21652.0,20700.0,10.0,6,2025-11-24,2025-11-28,2025-12-02,2026-05-31,Overdue,92.35,Business expansion,3382.45,367.05
154,CUS-0207,Caroline Mumbula,Business Owner,21136.0,16900.0,12.0,18,2026-04-16,,,,Pending,93.6,Vehicle repair,0,0
155,CUS-0209,Lillian Chilufya,Unemployed,234.0,11500.0,15.0,36,2025-10-20,2025-10-23,,,Approved,40.0,School fees,0,0
156,CUS-0098,Lillian Musonda,Retired,6369.0,10900.0,18.0,18,2026-05-12,2026-05-13,2026-05-15,2027-11-06,Completed,86.31,Emergency needs,13843.0,0
157,CUS-0207,Caroline Mumbula,Business Owner,21136.0,18400.0,24.0,36,2025-12-12,2025-12-17,2025-12-17,2028-12-01,Disbursed,88.04,Business expansion,4189.73,0
158,CUS-0040,Memory Mumba,Student,2479.0,7600.0,10.0,12,2026-06-08,2026-06-14,2026-06-16,2027-06-11,Disbursed,75.47,Personal development,5831.97,0
159,CUS-0107,Peter Zulu,Retired,6997.0,12500.0,18.0,9,2026-02-25,2026-02-28,2026-03-01,2026-11-26,Disbursed,85.71,School fees,3054.31,0
160,CUS-0134,Thandiwe Lungu,Self-Employed,8875.0,29200.0,15.0,24,2024-04-30,2024-05-03,2024-05-06,2026-04-26,Overdue,73.68,Personal development,2089.57,717.41
161,CUS-0037,Victor Musonda,Business Owner,20949.0,14100.0,24.0,3,2025-09-22,2025-09-29,2025-09-30,2025-12-29,Completed,94.62,Emergency needs,14946.0,0
162,CUS-0142,Memory Chilufya,Retired,6495.0,14100.0,20.0,24,2025-12-11,2025-12-12,,,Approved,82.63,Equipment purchase,0,0
163,CUS-0049,Victor Phiri,Other,3138.0,27300.0,10.0,12,2025-12-04,,,,Rejected,45.0,Equipment purchase,0,0
164,CUS-0220,Thandiwe Chanda,Retired,2396.0,1400.0,18.0,24,2026-07-09,2026-07-11,2026-07-13,2028-07-02,Disbursed,95.33,Business expansion,871.52,0
165,CUS-0071,Gabriel Tembo,Other,4091.0,5500.0,20.0,12,2025-05-02,2025-05-09,2025-05-12,2026-05-07,Overdue,89.24,Personal development,1795.36,96.09
166,CUS-0193,Natasha Kunda,Retired,1261.0,8400.0,20.0,36,2026-02-11,,,,Rejected,41.71,Equipment purchase,0,0
167,CUS-0119,Gabriel Mutale,Other,545.0,6000.0,10.0,36,2026-06-09,2026-06-15,,,Approved,40.0,Personal development,0,0
168,CUS-0039,James Mwelwa,Employed,12140.0,29700.0,24.0,36,2026-06-21,2026-06-25,2026-06-25,2029-06-09,Disbursed,75.43,Business expansion,7072.7,0
169,CUS-0125,Adrian Mwelwa,Other,1508.0,14000.0,12.0,3,2026-07-07,2026-07-09,,,Approved,45.0,Equipment purchase,0,0
170,CUS-0019,Lillian Tembo,Student,3780.0,11700.0,10.0,12,2026-05-18,,,,Pending,75.24,Medical expenses,0,0
171,CUS-0149,Natasha Chilufya,Employed,9057.0,29400.0,24.0,36,2026-06-24,2026-06-29,2026-07-02,2029-06-16,Completed,69.03,Personal development,50568.0,0
172,CUS-0140,Agnes Mbewe,Unemployed,4506.0,21100.0,15.0,18,2026-01-30,,,,Pending,62.54,Equipment purchase,0,0
173,CUS-0049,Victor Phiri,Other,3138.0,3100.0,24.0,12,2025-06-21,2025-06-26,2025-06-27,2026-06-22,Overdue,92.1,Medical expenses,804.05,60.8
174,CUS-0189,Sibamba Zulu,Other,2878.0,5500.0,12.0,36,2025-12-29,2026-01-01,2026-01-04,2028-12-19,Disbursed,79.71,Emergency needs,377.1,0
175,CUS-0123,Kelvin Ngoma,Self-Employed,4589.0,23400.0,20.0,6,2025-10-23,,,,Pending,59.21,Personal development,0,0
176,CUS-0008,Ruth Phiri,Retired,6891.0,10700.0,20.0,3,2026-03-26,2026-04-02,2026-04-06,2026-07-05,Disbursed,87.58,Farm inputs,1362.63,0
177,CUS-0098,Lillian Musonda,Retired,6369.0,22200.0,10.0,36,2026-03-31,2026-04-05,2026-04-06,2029-03-21,Disbursed,67.11,Personal development,3489.48,0
